company_name,total_roles,remote_roles,unique_departments,product_roles,pm_roles,Customer Support,Data,Design,Engineering,Finance,HR,Legal,Marketing,Operations,Other,Product,Sales,Strategy,growth_tags
CRED,4,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,None
Chargebee,5,1,3,1,1,1,0,0,0,0,0,0,1,0,0,0,3,0,"GTM Team Expansion, New Product Buildout"
Drip Capital,14,0,5,0,4,0,0,0,0,1,0,5,0,3,4,0,0,1,Company-Wide Scaling
Groww,9,0,5,0,3,0,1,0,2,3,0,1,0,0,2,0,0,0,Company-Wide Scaling
Meesho,15,0,3,0,8,0,0,0,1,2,0,0,0,12,0,0,0,0,None
Paytm,40,0,11,3,16,0,1,1,1,4,1,4,1,6,2,1,18,0,"GTM Team Expansion, New Product Buildout, Company-Wide Scaling"
Razorpay,33,0,10,6,13,2,1,0,1,1,1,1,2,0,7,12,5,0,"GTM Team Expansion, New Product Buildout, Company-Wide Scaling"
Urban Company,17,0,3,0,13,0,1,0,1,0,0,0,0,15,0,0,0,0,None
Yellow.ai,7,1,1,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,None
Zolve,8,0,4,1,1,0,0,0,0,0,0,1,0,3,3,1,0,0,"New Product Buildout, Company-Wide Scaling"
