company_name,job_title,department,location,job_posted_url,scrape_date
Razorpay,Lead Analytics SpecialistNew,Product,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4561900005,2025-05-11
Razorpay,Senior Analytics SpecialistNew,Product,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4562956005,2025-05-11
Razorpay,Staff Analytics Specialist,Product,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4549190005,2025-05-11
Razorpay,Lead Solutions Engineer,Sales,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4516497005,2025-05-11
Razorpay,Software Engineering ManagerNew,Other,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4557968005,2025-05-11
Razorpay,Director - Solutions Consulting,Other,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4550917005,2025-05-11
Razorpay,Senior Solution Engineer,Other,"Kuala Lumpur, Malaysia",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4536254005,2025-05-11
Razorpay,Technical Account ManagerNew,Other,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4562951005,2025-05-11
Razorpay,Lead Technical Consultant,Customer Support,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4539457005,2025-05-11
Razorpay,Manager - Ad Sales,Sales,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4547372005,2025-05-11
Razorpay,Manager - Ad Sales (Enterprise Sales),Sales,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4545803005,2025-05-11
Razorpay,"Senior Manager, Payroll",Finance,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4560247005,2025-05-11
Razorpay,"Senior Manager, Group Compliance",Legal,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4557035005,2025-05-11
Razorpay,"Associate Manager, New Initiatives",Customer Support,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4545187005,2025-05-11
Razorpay,Manager - Channel Partnerships,Sales,"Singapore, Singapore",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4550748005,2025-05-11
Razorpay,"Manager, HRBP",HR,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4552065005,2025-05-11
Razorpay,Manager - SME Sales,Sales,"Singapore, Singapore",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4539872005,2025-05-11
Razorpay,"Associate Manager, VigilanceNew",Other,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4559014005,2025-05-11
Razorpay,Senior Communication Designer,Marketing,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4539504005,2025-05-11
Razorpay,Senior Communication DesignerNew,Marketing,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4559036005,2025-05-11
Razorpay,Lead Product Designer,Product,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4481112005,2025-05-11
Razorpay,Manager Product Design,Product,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4409125005,2025-05-11
Razorpay,Product Designer II,Product,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4556019005,2025-05-11
Razorpay,Product Designer IINew,Product,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4556452005,2025-05-11
Razorpay,Senior Product Designer,Product,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4508363005,2025-05-11
Razorpay,Senior Product Designer,Product,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4543721005,2025-05-11
Razorpay,Staff Software Development EngineerNew,Engineering,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4550322005,2025-05-11
Razorpay,Staff Data Scientist,Data,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4525935005,2025-05-11
Razorpay,Lead Software Development Engineer in Test,Other,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4557514005,2025-05-11
Razorpay,Senior Software Development Engineer in Test,Other,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4556416005,2025-05-11
Razorpay,Resume with Razorpay - Intern - Technical Program Manager,Product,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4412446005,2025-05-11
Razorpay,Solutions Engineer,Product,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4535364005,2025-05-11
Razorpay,Success Rate - Business AnalystNew,Product,"Bengaluru, India",https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4561307005,2025-05-11
CRED,funds settlement,Operations,"Bengaluru, India",https://careers.cred.club/openings/c85d5832-53c2-413e-b711-41b5acef6a74,2025-05-11
CRED,senior business analyst,Strategy,"Bengaluru, India",https://careers.cred.club/openings/ca6cd6ec-ff19-4a69-b03a-16b6ed0cbda8,2025-05-11
CRED,copywriter,Marketing,"Bengaluru, India",https://careers.cred.club/openings/fad1748a-084f-4d0c-9ebb-aea8e0796392,2025-05-11
CRED,partnerships management - cred store,Operations,"Bengaluru, India",https://careers.cred.club/openings/fd4bac8c-94ba-4549-bc10-41d942b0481c,2025-05-11
Groww,Lead Business Analyst,Data,"Bengaluru, India",https://job-boards.eu.greenhouse.io/groww/jobs/4528317101,2025-05-11
Groww,Technical Program Manager,Engineering,"Bengaluru, India",https://job-boards.eu.greenhouse.io/groww/jobs/4533799101,2025-05-11
Groww,Site Reliability Engineer,Engineering,"Bengaluru, India",https://job-boards.eu.greenhouse.io/groww/jobs/4528375101,2025-05-11
Groww,CA - Industrial Trainee,Finance,"Bengaluru, India",https://job-boards.eu.greenhouse.io/groww/jobs/4578549101,2025-05-11
Groww,Controllership,Finance,"Bengaluru, India",https://job-boards.eu.greenhouse.io/groww/jobs/4554860101,2025-05-11
Groww,Assistant Manager - Internal Audit (BGV),Other,"Bengaluru, India",https://job-boards.eu.greenhouse.io/groww/jobs/4528302101,2025-05-11
Groww,Manager - Internal Audit - NBFC,Other,"Bengaluru, India",https://job-boards.eu.greenhouse.io/groww/jobs/4528351101,2025-05-11
Groww,Investor Relations,Finance,"Bengaluru, India",https://job-boards.eu.greenhouse.io/groww/jobs/4528316101,2025-05-11
Groww,Corporate Lawyer - Debt & Regulatory,Legal,"Bengaluru, India",https://job-boards.eu.greenhouse.io/groww/jobs/4540368101,2025-05-11
